geoid,2020 median income,2020 median income margin of error,2020 race: total households,2020 race: total households margin of error,2020 race: White,2020 race: Black,2020 race: Asian,2020 race: Other,2020 race: 2 or more races
48029170402,34942,5410,5599,1124,4342,44,0,224,973
48029170500,37009,14928,4463,767,3715,15,39,162,532
48029170600,55023,13628,4433,666,3275,20,40,605,466
48029170700,34286,20539,4825,1009,4178,11,2,598,36
48029170800,32708,10580,2156,526,1785,174,9,27,101
48029170900,35523,10142,3652,688,3214,0,8,291,139
48029171000,30000,8576,6396,1244,5117,49,0,395,785
48029171100,27662,6789,4327,1007,3125,61,0,27,1071
48029171200,23489,2304,4187,890,3130,0,0,56,923
48029171301,30556,4213,2682,484,1970,8,0,221,406
48029171302,34171,9176,5111,713,3758,131,143,464,591
48029171401,43636,10459,4512,676,3847,71,8,177,409
48029171402,45026,14948,6747,1709,4651,21,0,553,1522
48029171501,37976,5030,2642,432,2111,129,0,123,275
48029171502,32948,3095,5383,1031,3825,239,4,341,725
48029171601,36013,5335,3925,494,3168,193,0,110,261
48029171602,24849,5166,4963,685,4191,220,14,48,344
48029171700,41004,8301,9391,1377,6226,718,157,586,1691
48029171801,44197,4060,5718,1094,4555,160,80,329,546
48029171802,32402,6070,6561,1347,5557,120,0,359,483
48029171903,43093,6833,5537,772,4297,218,0,687,236
48029171912,92045,15406,8009,1043,5276,622,349,313,1415
48029171913,43844,8189,5595,668,4254,514,72,374,290
48029171914,78279,5011,5893,693,4418,590,28,332,505
48029171915,61667,17574,2078,248,1505,228,27,187,128
48029171916,91097,8530,9364,1232,7189,797,273,166,921
48029171917,87614,24681,10260,1558,6415,988,841,700,1196
48029171918,67564,12237,7442,1212,4976,407,87,553,1314
48029171919,69773,18428,5097,686,3139,636,77,417,592
48029171920,61333,9238,8304,946,6087,901,146,694,476
48029171921,73333,10739,5813,1735,4044,369,276,261,846
48029171922,76863,13638,3978,886,3049,418,17,109,385
48029171923,64620,8632,10243,1578,7379,958,420,220,1187
48029171924,73255,8407,8091,1235,5684,861,173,286,1010
48029171926,30724,4000,2251,423,1768,346,0,0,137
48029171927,49729,14741,10191,1384,6767,880,312,809,756
48029171928,96470,17200,5787,1403,3802,429,80,210,1266
48029171929,50167,25275,5905,2938,4849,341,73,270,372
48029172002,88920,7359,19704,2314,13082,2478,219,1042,2757
48029172003,95186,8779,5084,629,3739,326,152,347,420
48029172004,106571,10373,7404,844,4672,627,384,341,1369
48029172005,90321,22313,8176,935,5737,693,496,172,1044
48029172006,104097,13470,8835,710,6011,1028,185,402,859
48029172008,135082,13525,3839,525,2632,410,289,250,182
48029172009,112943,19580,6252,1346,4237,1043,198,445,327
48029180101,53669,11849,5245,1146,4483,0,5,222,436
48029180102,87031,25914,1962,316,1516,20,11,127,278
48029180201,39135,7712,5858,996,4201,199,4,516,911
48029180202,28455,5020,5288,927,4053,125,37,211,832
48029180300,38199,3278,4950,925,3456,98,0,566,801
48029180400,36225,9469,4273,666,3530,54,282,92,281
48029180501,22480,9600,4654,802,3373,682,19,217,355
48029180503,56975,7478,4856,573,3533,50,0,524,713
48029180504,38281,14169,5054,804,3818,306,0,414,493
48029180602,48911,25044,4337,831,3115,197,77,68,849
48029180603,55673,18128,2141,323,1530,282,94,90,135
48029180604,47372,8190,6523,1064,4994,253,45,247,955
48029180701,39240,6646,4171,986,2630,265,308,257,670
48029180702,45111,5489,7128,1012,4741,727,174,353,1047
48029180800,29038,9458,2817,193,2166,193,0,295,163
48029180901,50746,5477,5458,675,4768,93,15,309,244
48029180902,39799,12598,9084,1510,6835,158,0,774,1293
48029181001,49750,9408,3262,609,2615,78,26,94,441
48029181003,31373,6509,8830,1093,5279,556,1588,639,768
48029181004,49089,12028,6669,1418,3968,655,800,524,718
48029181005,30208,4303,4000,552,2345,746,348,325,236
48029181100,68033,6361,6152,597,5029,38,459,347,279
48029181200,84722,16600,5350,788,4488,90,249,383,140
48029181301,53873,15522,4894,1026,3306,249,289,98,952
48029181302,47165,4360,6516,987,4830,406,143,109,1028
48029181303,35074,7196,4328,597,2363,728,712,243,282
48029181402,44789,8495,2914,448,1953,211,443,147,155
48029181403,53028,5048,6942,1247,3853,155,2287,115,483
48029181404,51719,9247,5039,820,2578,506,1328,168,324
48029181503,47202,8246,9531,1876,5861,1657,753,708,552
48029181504,45403,10440,6953,1296,4105,976,643,187,1027
